name,value,year,lastValue,rank
Google,104609.4,2013.8,103194.6,
Apple,104480.1,2013.3,102425.4,
Google,103194.6,2013.7,101779.8,
Apple,102425.4,2013.2,100370.7,
Google,101779.8,2013.6,100365,
Amazon,100764,2018,97167.2,
Apple,100370.7,2013.1,98316,
Google,100365,2013.5,98950.2,
Google,98950.2,2013.4,97535.4,
Apple,98316,2013,96141.2,
Google,97535.4,2013.3,96120.6,
Amazon,97167.2,2017.9,93570.4,
Apple,96141.2,2012.9,93966.4,
Google,96120.6,2013.2,94705.8,
Google,94705.8,2013.1,93291,
Apple,93966.4,2012.8,91791.6,
Amazon,93570.4,2017.8,89973.6,
Google,93291,2013,90934.5,
Microsoft,92715,2018,91443.4,
Apple,91791.6,2012.7,89616.8,
Microsoft,91443.4,2017.9,90171.8,
Google,90934.5,2012.9,88578,
Microsoft,90171.8,2017.8,88900.2,
Amazon,89973.6,2017.7,86376.8,
Apple,89616.8,2012.6,87442,
Microsoft,88900.2,2017.7,87628.6,
Google,88578,2012.8,86221.5,
Microsoft,87628.6,2017.6,86357,
Apple,87442,2012.5,85267.2,
Amazon,86376.8,2017.6,82780,
Microsoft,86357,2017.5,85085.4,
Google,86221.5,2012.7,83865,
Apple,85267.2,2012.4,83092.4,
Microsoft,85085.4,2017.4,83813.8,
Google,83865,2012.6,81508.5,
Microsoft,83813.8,2017.3,82542.2,
Apple,83092.4,2012.3,80917.6,
Amazon,82780,2017.5,79183.2,
Microsoft,82542.2,2017.2,81270.6,
Coca-Cola,81563,2014,81328,
Google,81508.5,2012.5,79152,
Coca-Cola,81328,2013.9,81093,
Microsoft,81270.6,2017.1,79999,
Coca-Cola,81249,2014.1,81563,
Coca-Cola,81093,2013.8,80858,
Coca-Cola,80935,2014.2,81249,
Apple,80917.6,2012.2,78742.8,
Coca-Cola,80858,2013.7,80623,
Coca-Cola,80623,2013.6,80388,
Coca-Cola,80621,2014.3,80935,
Coca-Cola,80388,2013.5,80153,
Coca-Cola,80307,2014.4,80621,
Coca-Cola,80153,2013.4,79918,
Microsoft,79999,2017,79278.6,
Coca-Cola,79993,2014.5,80307,
